,GEN,BEZ,county,BL,googlemaps_key
0,Flensburg,Kreisfreie Stadt,SK Flensburg,Schleswig-Holstein,Flensburg
1,Kiel,Kreisfreie Stadt,SK Kiel,Schleswig-Holstein,Kiel
2,Lübeck,Kreisfreie Stadt,SK Lübeck,Schleswig-Holstein,Lübeck
3,Neumünster,Kreisfreie Stadt,SK Neumünster,Schleswig-Holstein,Neumünster
4,Dithmarschen,Kreis,LK Dithmarschen,Schleswig-Holstein,Dithmarschen
5,Herzogtum Lauenburg,Kreis,LK Herzogtum Lauenburg,Schleswig-Holstein,Herzogtum Lauenburg
6,Nordfriesland,Kreis,LK Nordfriesland,Schleswig-Holstein,Nordfriesland
7,Ostholstein,Kreis,LK Ostholstein,Schleswig-Holstein,Ostholstein
8,Pinneberg,Kreis,LK Pinneberg,Schleswig-Holstein,Pinneberg
9,Plön,Kreis,LK Plön,Schleswig-Holstein,Plön
10,Rendsburg-Eckernförde,Kreis,LK Rendsburg-Eckernförde,Schleswig-Holstein,Rendsburg-Eckernförde
11,Schleswig-Flensburg,Kreis,LK Schleswig-Flensburg,Schleswig-Holstein,Schleswig-Flensburg
12,Segeberg,Kreis,LK Segeberg,Schleswig-Holstein,Segeberg
13,Steinburg,Kreis,LK Steinburg,Schleswig-Holstein,Steinburg
14,Stormarn,Kreis,LK Stormarn,Schleswig-Holstein,Stormarn
15,Hamburg,Kreisfreie Stadt,SK Hamburg,Hamburg,Hamburg
16,Braunschweig,Kreisfreie Stadt,SK Braunschweig,Niedersachsen,Brunswick
17,Salzgitter,Kreisfreie Stadt,SK Salzgitter,Niedersachsen,Salzgitter
18,Wolfsburg,Kreisfreie Stadt,SK Wolfsburg,Niedersachsen,Wolfsburg
19,Gifhorn,Landkreis,LK Gifhorn,Niedersachsen,Gifhorn
20,Goslar,Landkreis,LK Goslar,Niedersachsen,Goslar
21,Helmstedt,Landkreis,LK Helmstedt,Niedersachsen,Helmstedt
22,Northeim,Landkreis,LK Northeim,Niedersachsen,Northeim
23,Peine,Landkreis,LK Peine,Niedersachsen,Boise
24,Wolfenbüttel,Landkreis,LK Wolfenbüttel,Niedersachsen,Wolfenbüttel
25,Göttingen,Landkreis,LK Göttingen,Niedersachsen,Göttingen
26,Region Hannover,Landkreis,Region Hannover,Niedersachsen,Hanover Region
27,Diepholz,Landkreis,LK Diepholz,Niedersachsen,Charleston Township
28,Hameln-Pyrmont,Landkreis,LK Hameln-Pyrmont,Niedersachsen,Hamelin-Pyrmont
29,Hildesheim,Landkreis,LK Hildesheim,Niedersachsen,Hildesheim
30,Holzminden,Landkreis,LK Holzminden,Niedersachsen,Holzminden
31,Nienburg (Weser),Landkreis,LK Nienburg (Weser),Niedersachsen,Nienburg/Weser
32,Schaumburg,Landkreis,LK Schaumburg,Niedersachsen,Schaumburg Township
33,Celle,Landkreis,LK Celle,Niedersachsen,Celle
34,Cuxhaven,Landkreis,LK Cuxhaven,Niedersachsen,Cuxhaven
35,Harburg,Landkreis,LK Harburg,Niedersachsen,Hamburg
36,Lüchow-Dannenberg,Landkreis,LK Lüchow-Dannenberg,Niedersachsen,Lüchow-Dannenberg
37,Lüneburg,Landkreis,LK Lüneburg,Niedersachsen,Lüneburg
38,Osterholz,Landkreis,LK Osterholz,Niedersachsen,Osterholz
39,Rotenburg (Wümme),Landkreis,LK Rotenburg (Wümme),Niedersachsen,Rotenburg (Wümme)
40,Heidekreis,Landkreis,LK Heidekreis,Niedersachsen,Heidekreis
41,Stade,Landkreis,LK Stade,Niedersachsen,Stade
42,Uelzen,Landkreis,LK Uelzen,Niedersachsen,Uelzen
43,Verden,Landkreis,LK Verden,Niedersachsen,Verden
44,Delmenhorst,Kreisfreie Stadt,SK Delmenhorst,Niedersachsen,Delmenhorst
45,Emden,Kreisfreie Stadt,SK Emden,Niedersachsen,Emden
46,Oldenburg (Oldb),Kreisfreie Stadt,SK Oldenburg,Niedersachsen,Oldenburg
47,Osnabrück,Kreisfreie Stadt,SK Osnabrück,Niedersachsen,Osnabrück
48,Wilhelmshaven,Kreisfreie Stadt,SK Wilhelmshaven,Niedersachsen,Wilhelmshaven
49,Ammerland,Landkreis,LK Ammerland,Niedersachsen,Ammerland
50,Aurich,Landkreis,LK Aurich,Niedersachsen,Aurich
51,Cloppenburg,Landkreis,LK Cloppenburg,Niedersachsen,Cloppenburg
52,Emsland,Landkreis,LK Emsland,Niedersachsen,Emsland
53,Friesland,Landkreis,LK Friesland,Niedersachsen,
54,Grafschaft Bentheim,Landkreis,LK Grafschaft Bentheim,Niedersachsen,County of Bentheim
55,Leer,Landkreis,LK Leer,Niedersachsen,Baugo Township
56,Oldenburg,Landkreis,LK Oldenburg,Niedersachsen,Oldenburg
57,Osnabrück,Landkreis,LK Osnabrück,Niedersachsen,Osnabrück
58,Vechta,Landkreis,LK Vechta,Niedersachsen,Vechta
59,Wesermarsch,Landkreis,LK Wesermarsch,Niedersachsen,Wesermarsch
60,Wittmund,Landkreis,LK Wittmund,Niedersachsen,Wittmund
61,Bremen,Kreisfreie Stadt,SK Bremen,Bremen,Bremen
62,Bremerhaven,Kreisfreie Stadt,SK Bremerhaven,Bremen,Bremerhaven
63,Düsseldorf,Kreisfreie Stadt,SK Düsseldorf,Nordrhein-Westfalen,Düsseldorf
64,Duisburg,Kreisfreie Stadt,SK Duisburg,Nordrhein-Westfalen,Duisburg
65,Essen,Kreisfreie Stadt,SK Essen,Nordrhein-Westfalen,Essen
66,Krefeld,Kreisfreie Stadt,SK Krefeld,Nordrhein-Westfalen,Krefeld
67,Mönchengladbach,Kreisfreie Stadt,SK Mönchengladbach,Nordrhein-Westfalen,Mönchengladbach
68,Mülheim an der Ruhr,Kreisfreie Stadt,SK Mülheim a.d.Ruhr,Nordrhein-Westfalen,Mülheim
69,Oberhausen,Kreisfreie Stadt,SK Oberhausen,Nordrhein-Westfalen,Oberhausen
70,Remscheid,Kreisfreie Stadt,SK Remscheid,Nordrhein-Westfalen,Remscheid
71,Solingen,Kreisfreie Stadt,SK Solingen,Nordrhein-Westfalen,Solingen
72,Wuppertal,Kreisfreie Stadt,SK Wuppertal,Nordrhein-Westfalen,Wuppertal
73,Kleve,Kreis,LK Kleve,Nordrhein-Westfalen,Kleve
74,Mettmann,Kreis,LK Mettmann,Nordrhein-Westfalen,Mettmann
75,Rhein-Kreis Neuss,Kreis,LK Rhein-Kreis Neuss,Nordrhein-Westfalen,Rhein-Kreis Neuss
76,Viersen,Kreis,LK Viersen,Nordrhein-Westfalen,Viersen
77,Wesel,Kreis,LK Wesel,Nordrhein-Westfalen,Wesel
78,Bonn,Kreisfreie Stadt,SK Bonn,Nordrhein-Westfalen,Bonn
79,Köln,Kreisfreie Stadt,SK Köln,Nordrhein-Westfalen,Cologne
80,Leverkusen,Kreisfreie Stadt,SK Leverkusen,Nordrhein-Westfalen,Leverkusen
81,Städteregion Aachen,Kreis,StadtRegion Aachen,Nordrhein-Westfalen,Aachen
82,Düren,Kreis,LK Düren,Nordrhein-Westfalen,Düren
83,Rhein-Erft-Kreis,Kreis,LK Rhein-Erft-Kreis,Nordrhein-Westfalen,Rhein-Erft-Kreis
84,Euskirchen,Kreis,LK Euskirchen,Nordrhein-Westfalen,Euskirchen
85,Heinsberg,Kreis,LK Heinsberg,Nordrhein-Westfalen,Heinsberg
86,Oberbergischer Kreis,Kreis,LK Oberbergischer Kreis,Nordrhein-Westfalen,Oberbergischer
87,Rheinisch-Bergischer Kreis,Kreis,LK Rheinisch-Bergischer Kreis,Nordrhein-Westfalen,Rheinisch-Bergischer Kreis
88,Rhein-Sieg-Kreis,Kreis,LK Rhein-Sieg-Kreis,Nordrhein-Westfalen,Rhein-Sieg-Kreis
89,Bottrop,Kreisfreie Stadt,SK Bottrop,Nordrhein-Westfalen,Bottrop
90,Gelsenkirchen,Kreisfreie Stadt,SK Gelsenkirchen,Nordrhein-Westfalen,Gelsenkirchen
91,Münster,Kreisfreie Stadt,SK Münster,Nordrhein-Westfalen,Münster
92,Borken,Kreis,LK Borken,Nordrhein-Westfalen,Borken
93,Coesfeld,Kreis,LK Coesfeld,Nordrhein-Westfalen,Coesfeld
94,Recklinghausen,Kreis,LK Recklinghausen,Nordrhein-Westfalen,Recklinghausen
95,Steinfurt,Kreis,LK Steinfurt,Nordrhein-Westfalen,Steinfurt
96,Warendorf,Kreis,LK Warendorf,Nordrhein-Westfalen,Warendorf
97,Bielefeld,Kreisfreie Stadt,SK Bielefeld,Nordrhein-Westfalen,Bielefeld
98,Gütersloh,Kreis,LK Gütersloh,Nordrhein-Westfalen,Gütersloh
99,Herford,Kreis,LK Herford,Nordrhein-Westfalen,Herford
100,Höxter,Kreis,LK Höxter,Nordrhein-Westfalen,Höxter
101,Lippe,Kreis,LK Lippe,Nordrhein-Westfalen,Lippe
102,Minden-Lübbecke,Kreis,LK Minden-Lübbecke,Nordrhein-Westfalen,Minden-Lübbecke
103,Paderborn,Kreis,LK Paderborn,Nordrhein-Westfalen,Paderborn
104,Bochum,Kreisfreie Stadt,SK Bochum,Nordrhein-Westfalen,Bochum
105,Dortmund,Kreisfreie Stadt,SK Dortmund,Nordrhein-Westfalen,Dortmund
106,Hagen,Kreisfreie Stadt,SK Hagen,Nordrhein-Westfalen,Hagen
107,Hamm,Kreisfreie Stadt,SK Hamm,Nordrhein-Westfalen,Hamm
108,Herne,Kreisfreie Stadt,SK Herne,Nordrhein-Westfalen,Boca Raton
109,Ennepe-Ruhr-Kreis,Kreis,LK Ennepe-Ruhr-Kreis,Nordrhein-Westfalen,Ennepe-Ruhr-Kreis
